subject,activity,object,marker,marked_type,source_text
Some event,Causes an unusual amount of trash,An unusual amount of trash,causes,M,university staff will call for trash trucks only when there is some event that causes an unusual amount of trash.
An unusual amount of trash,University staff call for trash trucks,University staff call for trash trucks,,U,university staff will call for trash trucks only when there is some event that causes an unusual amount of trash.
limited space in our university,Garbage buffer is created,the garbage buffer,due to,M,"Also due to limited space in our university, the garbage buffer is created to store trash preventing normal collection points from overflowing."
Garbage buffer storing trash,Prevents normal collection points from overflowing,Normal collection points overflowing,,U,the garbage buffer is created to store trash preventing normal collection points from overflowing.
Universities accept more students,Challenges emerge,Challenges,,U,And these challenges emerge as universities accept more students.
Increase in the number of students,Increases the number of trash producers,The number of trash producers,,U,Increase in the number of students also increases the number of trash producers
The most important factor,Makes the project fail,The project in general fail,,U,He mentions that the most important factor that makes the project in general fail is economic feasibility.
gains after employing developed policy,Consume more monthly cost,more monthly cost,,U,Ex. gains after employing developed policy consume more monthly cost
gains after employing developed policy,Give insignificant improvement,insignificant improvement,,U,gains after employing developed policy... give insignificant improvement compared to old policy.
Management (ผู้บริหาร),Policy changes,Policy,,U,นโยบายเปลี่ยนตามผู้บริหาร
"Staff working hours, Housekeeper working hours",Garbage appears to overflow,Garbage overflowing,,U,"พนักงานเก็บขยะ 3-4pm(เลิก 5pm), แม่บ้านเก็บ 5pm (เลิก 5pm) = ขยะดูล้นๆ"
Personnel (บุคลากร),Inaccurate weight measurements,Inaccurate weight measurements (การคาดเคลื่อนการชั่งน้ำหนัก),เนื่องจาก,M,ปัญหา 1 -> การคาดเคลื่อนการชั่งน้ำหนักเนื่องจากบุคลากร
